ticker,quarter_end,close_price
AAPL,2025-09-30,254.63
AAPL,2025-12-31,271.86
AAPL,2026-03-31,253.79
ALLY,2025-09-30,39.2
ALLY,2025-12-31,45.29
ALLY,2026-03-31,39.23
AMZN,2025-09-30,219.57
AMZN,2025-12-31,230.82
AMZN,2026-03-31,208.27
AXP,2025-09-30,332.16
AXP,2025-12-31,369.95
AXP,2026-03-31,302.48
BAC,2025-09-30,51.59
BAC,2025-12-31,55
BAC,2026-03-31,48.75
CB,2025-09-30,282.25
CB,2025-12-31,312.12
CB,2026-03-31,325.93
CHTR,2025-09-30,275.11
CHTR,2025-12-31,208.75
CHTR,2026-03-31,215.88
COF,2025-09-30,212.58
COF,2025-12-31,242.36
COF,2026-03-31,182.43
CVX,2025-09-30,155.29
CVX,2025-12-31,152.41
CVX,2026-03-31,206.9
DAL,2025-09-30,56.75
DAL,2025-12-31,69.4
DAL,2026-03-31,66.48
DPZ,2025-09-30,431.71
DPZ,2025-12-31,416.82
DPZ,2026-03-31,358.79
DVA,2025-09-30,132.87
DVA,2025-12-31,113.61
DVA,2026-03-31,153.69
GOOG,2025-09-30,243.55
GOOG,2025-12-31,313.8
GOOG,2026-03-31,286.86
GOOGL,2025-09-30,243.1
GOOGL,2025-12-31,313
GOOGL,2026-03-31,287.56
JEF,2025-09-30,65.42
JEF,2025-12-31,61.97
JEF,2026-03-31,41.27
KHC,2025-09-30,26.04
KHC,2025-12-31,24.25
KHC,2026-03-31,22.49
KO,2025-09-30,66.32
KO,2025-12-31,69.91
KO,2026-03-31,76.05
KR,2025-09-30,67.41
KR,2025-12-31,62.48
KR,2026-03-31,72.36
LAMR,2025-09-30,122.42
LAMR,2025-12-31,126.58
LAMR,2026-03-31,126.66
LEN,2025-09-30,126.04
LEN,2025-12-31,102.8
LEN,2026-03-31,86.84
LPX,2025-09-30,88.84
LPX,2025-12-31,80.76
LPX,2026-03-31,72.75
M,2025-09-30,17.93
M,2025-12-31,22.05
M,2026-03-31,18.09
MA,2025-09-30,568.81
MA,2025-12-31,570.88
MA,2026-03-31,499.66
MCO,2025-09-30,476.48
MCO,2025-12-31,510.85
MCO,2026-03-31,436.25
NUE,2025-09-30,135.43
NUE,2025-12-31,163.11
NUE,2026-03-31,169.1
NVR,2025-09-30,8034.6602
NVR,2025-12-31,7292.77
NVR,2026-03-31,6589.8301
NYT,2025-09-30,57.4
NYT,2025-12-31,69.42
NYT,2026-03-31,83.73
OXY,2025-09-30,47.25
OXY,2025-12-31,41.12
OXY,2026-03-31,65
POOL,2025-09-30,310.07
POOL,2025-12-31,228.75
POOL,2026-03-31,202.33
SIRI,2025-09-30,23.28
SIRI,2025-12-31,20
SIRI,2026-03-31,23.08
STZ,2025-09-30,134.67
STZ,2025-12-31,137.96
STZ,2026-03-31,150
UNH,2025-09-30,345.3
UNH,2025-12-31,330.11
UNH,2026-03-31,270.59
V,2025-09-30,341.38
V,2025-12-31,350.71
V,2026-03-31,302.24
VRSN,2025-09-30,279.57
VRSN,2025-12-31,242.95
VRSN,2026-03-31,248.36
